Country,new.forest,Rural,log.CO2,log.GNI,log.Energy.2011,LifeExp,Fertility,InfMort,log.Exports,log.Imports,CellPhone,RuralWater,Pop
China,-5.929374602,46.832,1.839733042,8.651724084,7.615477213,75.1995122,1.663,10.9,3.350966008,3.259900191,88.70833462,84.9,1357380000
India,-2.735634368,68.006,0.568835582,7.34601021,6.419536925,66.21085366,2.505,41.4,3.17248544,3.408213415,70.78318167,90.7,1252139596
United States,-1.688899022,18.723,2.871537728,10.86570722,8.858292522,78.74146341,1.8805,5.9,2.604612908,2.84419291,95.52954726,98,316128839
Indonesia,4.636429459,47.748,0.6435402,8.13739583,6.753775337,70.6072439,2.37,24.5,3.271910744,3.216864756,121.5434067,76.4,249865631
Brazil,3.222813308,14.829,0.81104934,9.362202721,7.223404787,73.61787805,1.811,12.3,2.475627706,2.535484629,135.3050481,85.3,200361925
Pakistan,6.053448784,62.14,0.031613484,7.13089883,6.177147466,66.43587805,3.264,69,2.636212664,2.942568239,70.13037598,89,182142594
Nigeria,7.231399689,53.906,-0.520722812,7.807916629,6.580144764,52.10902439,6.002,74.3,3.444569888,3.066391075,73.29196161,49.1,173615345
Bangladesh,1.95669311,67.247,-0.751700659,6.721425701,5.321644762,70.29485366,2.208,33.2,3.131174391,3.453487433,67.08453366,84.4,156594962
Russian Federation,-0.179277519,26.149,2.511694234,9.452501929,8.539587423,70.46097561,1.59,8.6,3.410135198,3.078918034,152.8353524,92.2,143499861
Japan,-0.432173052,7.509,2.228470291,10.77247701,8.191565931,83.09609756,1.41,2.1,2.716517908,2.774735635,115.1885934,100,127338621
Mexico,2.872378525,21.309,1.351592205,9.181940897,7.352266494,77.13507317,2.216,12.5,3.441960374,3.481173501,85.83640136,90.8,122332399
Philippines,-4.281921929,55.367,-0.027218803,7.989560449,6.053432903,68.55373171,3.076,23.5,3.464773594,3.572818237,104.5023215,91.2,98393574
Ethiopia,5.311115459,81.41,-1.745458287,6.01615716,5.942948958,62.96595122,4.642,44.4,2.833157626,3.469950184,27.25468539,42.1,94100756
Vietnam,-7.101588109,67.691,0.603287261,7.34601021,6.546547749,75.60668293,1.768,19,4.374383052,4.425129792,130.8904335,93.6,89708900
"Egypt, Arab Rep.",-7.862453931,56.975,1.001657573,7.999678579,6.88554715,70.9072439,2.807,18.6,3.023708641,3.206325662,121.507893,98.8,82056378
Germany,-1.766038005,25.11,2.220815392,10.71818843,8.245770767,80.89268293,1.38,3.2,3.924572763,3.816259065,119.0306009,100,80621788
Turkey,-4.420556788,27.63,1.442445644,9.288226911,7.339078748,74.86243902,2.06,16.5,3.177080078,3.485767145,92.96497103,98.8,74932641
Thailand,1.673362851,52.057,1.514435908,8.565983356,7.489767958,74.18797561,1.412,11.3,4.343071632,4.28230261,137.9828493,95.3,67010502
France,-3.226131523,20.945,1.73272852,10.642086,8.260800196,82.56585366,2.01,3.5,3.291951557,3.396475544,98.49547248,100,66028467
United Kingdom,-3.300360344,17.908,2.074751655,10.55320518,7.997354088,81.5,1.9,3.9,3.467897284,3.514009229,123.7698841,100,64097085
Italy,-4.753474563,31.314,1.939365189,10.45765998,7.944286271,82.93658537,1.4,3,3.3615716,3.408910595,158.8835332,100,59831093
South Africa,0,36.212,2.21271853,8.917310693,7.916023279,56.09831707,2.412,32.8,3.421193457,3.406965992,147.4645166,88.3,52981991
"Korea, Rep.",1.590789818,17.751,2.449866985,10.11212642,8.562524185,81.36829268,1.297,3.2,4.020832108,3.993650513,110.9984678,87.9,50219669
Tanzania,4.62441641,69.804,-1.377414,6.345636361,6.103834615,60.84643902,5.287,36.4,3.43583762,3.916313924,55.71793149,44,49253126
Colombia,1.885237266,24.117,0.547804309,8.85509298,6.509500831,73.77707317,2.316,14.5,2.930452491,2.992364745,104.0845439,73.6,48321405
Spain,-5.836325814,20.871,1.773236362,10.28670705,7.895964563,82.37804878,1.32,3.6,3.428904749,3.462392333,106.9052178,100,46647421
Ukraine,-2.282128106,30.726,1.908781792,8.199738961,7.92527176,70.94414634,1.531,8.6,3.995830396,4.104093527,138.0646549,97.7,45489600
Kenya,2.663225936,75.22,-0.906880984,6.768493212,6.174061246,61.08317073,4.459,47.5,3.350727323,3.808683742,70.58942851,55.1,44353691
Algeria,3.399071824,30.49,1.233000936,8.511175119,7.010566012,70.88217073,2.82,21.6,3.656764718,3.358265995,102.0107812,79.5,39208194
Sudan,10,66.54,-0.889506147,7.286191715,5.872339646,61.86395122,4.491,51.2,2.866595849,2.74376606,72.85231291,50.2,37964306
Canada,0,18.528,2.693155429,10.83269451,8.900178041,81.23804878,1.61,4.6,3.424879915,3.464530426,78.39781723,99,35158304
Iraq,-1.616149838,30.738,1.335903996,8.720950029,7.14391003,69.24192683,4.086,28,3.76483461,3.29457351,96.10477428,68.5,33417476
Morocco,-1.421338109,40.8,0.530265511,7.97590836,6.289868653,70.64312195,2.706,26.1,3.571652109,3.885385772,128.5252097,63.6,33008150
Peru,1.874079206,22.046,0.726416441,8.681011277,6.543904875,74.51553659,2.448,12.9,3.389643637,3.242063257,98.08298127,71.6,30375603
Uzbekistan,-2.704372182,63.783,1.323535003,7.43838353,7.394906704,68.104,2.53,36.7,3.498969714,3.44183483,74.30678167,80.9,30241100
Malaysia,3.058832023,26.716,2.049944156,9.192176401,7.878318976,74.84229268,1.975,7.2,4.5175056,4.319877314,144.6850309,98.5,29716965
Saudi Arabia,0,17.281,2.841409863,10.11293778,8.815580129,75.49690244,2.702,13.4,4.028814483,3.386780262,176.4978024,97,28828870
Nepal,4.951498202,82.123,-1.427649513,6.551080335,5.947085623,67.98270732,2.389,32.2,2.186504031,3.494208685,71.46285,87.6,27797457
Ghana,6.06401582,47.265,-0.753135077,7.365180126,6.052172677,60.94712195,3.92,52.3,3.786865769,3.905954439,108.1911482,81.3,25904598
Mozambique,3.319133077,68.331,-1.512954434,6.234410726,6.028359065,49.83626829,5.263,61.5,3.427117769,4.102937082,48.00421557,35,25833752
Australia,2.135839951,10.847,2.835195569,10.9985937,8.612647033,82.09512195,1.927,3.4,3.05100135,3.002864811,106.8434974,100,23130900
Cameroon,4.461455992,46.75,-0.796734565,7.081708586,5.760866249,54.5875122,4.859,60.8,3.38393443,3.473099603,70.3904685,51.9,22253959
Angola,2.121969647,57.51,0.5043843,8.414052432,6.511357758,51.464,5.979,101.6,4.174032974,3.768313569,61.87329711,34.3,21471618
Sri Lanka,4.700384774,81.7,-0.334915767,7.97590836,6.21328392,74.06804878,2.346,8.2,3.137885442,3.627225265,95.49632054,92.9,20483000
Cote d'Ivoire,-1.327729042,47.234,-0.901658487,7.106606138,6.361823919,50.40173171,4.894,71.3,4.054932466,3.634853836,95.44605196,67.8,20316086
