Food Energy Protein Fat Calcium Iron
BB 340 20 28 9 2.6
HR 245 21 17 9 2.7
BR 420 15 39 7 2.0
BS 375 19 32 9 2.5
BC 180 22 10 17 3.7
CB 115 20 3 8 1.4
CC 170 25 7 12 1.5
BH 160 26 5 14 5.9
LL 265 20 20 9 2.6
LS 300 18 25 9 2.3
HS 340 20 28 9 2.5
PR 340 19 29 9 2.5
PS 355 19 30 9 2.4
BT 205 18 14 7 2.5
VC 185 23 9 9 2.7
FB 135 22 4 25 0.6
AR 70 11 1 82 6.0
AC 45 7 1 74 5.4
TC 90 14 2 38 0.8
HF 135 16 5 15 0.5
MB 200 19 13 5 1.0
MC 155 16 9 157 1.8
PF 195 16 11 14 1.3
SC 120 17 5 159 0.7
DC 180 22 9 367 2.5
UC 170 25 7 7 1.2
RC 110 23 1 98 2.6
